Origin,Region,Supplier,Item,Unit,SKU,Frontline WCB Price,Discount WCB Price,BTG- On Premise Only,Special Pricing 1,Terms,,,Female Owned,,,,
Argentine,Mendoza,Avarizza,Uco Valley Avarizza Malbec ,0.750,ARG1015,$9.99,$9.33,$8.49,$8.49,3+ cases,,,Female Owned,,,,
Argentine,Lujan de Cuyo,Bodega Gieco,Bodega Gieco Cabernet Franc,0.750,ARG1032,$16.67,$15.99,,,,,,,,,,
Argentine,Lujan de Cuyo,Bodega Gieco,Bodega Gieco Familia Gieco Malbec,0.750,ARG1029,$7.33,$6.67,,$6.25,3+ cases,,,,,,,
Argentine,Lujan de Cuyo,Bodega Gieco,Bodega Gieco Red Blend,0.750,ARG1031,$16.67,$15.99,,,,,,,,,,
Argentine,Lujan de Cuyo,Bodega Gieco,Bodega Gieco Single Vineyard Malbec,0.750,ARG1033,$10.67,$9.99,$9.33,$9.33,3+ cases,,,,,,,
Argentine,Lujan de Cuyo,Bodega Gieco,Bodega Gieco Special Selection Vineyard,0.750,ARG1022,$16.67,$15.99,$13.33,$14.67,2+ cases,,,,,,,
Argentine,Salta,Estancia los Cardones,Anko Cabernet Sauvignon Flor de Cardon,0.750,ARG1067,$16.67,16.33,$15.00,$15.00,2 Cases Solid or 5 Mixed in Brand,,,,,,,
Argentine,Salta,Estancia los Cardones,Anko Malbec,0.750,ARG1065,$10.67,10.33,$9.99,$9.99,2 Cases Solid or 5 Mixed in Brand,,,,,,,
Argentine,Salta,Estancia los Cardones,Anko Torrontes,0.750,ARG1064,$10.67,10.33,,,,,,,,,,
Argentine,Salta,Estancia los Cardones,Tigerstone Garnacha,0.750,ARG1068,$18.66,18.33,$15.00 (12+ bottles),,,,,,,,,
Argentine,Patagonia,Familia Schroeder,Pampas Grass Pinot Noir ,0.750,ARG1023,$9.99,$9.49,$8.50,$8.50,3+ cases,,,,,,,x
Argentine,Cafayete,Knuttel Family,Tentadora Malbec,0.750,ARG1030,$10.67,$9.99,$8.49,$8.49,3+cases,,,,,,,
Argentine,Mendoza,ZaHa,Teho Malbec,0.750,ARG1072,$33.33,32.66,,,,,,,91 pts Wine Enthusiast,,,
Argentine,Mendoza,ZaHa,"Zaha ""El Corte""",0.750,ARG1071,$16.67,16.33,,,,,,,,,,
Argentine,Mendoza,ZaHa,Zaha Cabernet Franc,0.750,ARG1069,$21.33,20.66,,$19.99,2 Cases Solid or 5 Mixed in Brand,,,,,,,
Argentine,Mendoza,ZaHa,Zaha Cabernet Sauvignon,0.750,ARG1070,$21.33,20.66,,$19.99,2 Cases Solid or 5 Mixed in Brand,,,,,,,
Argentine,Mendoza,ZaHa,Zaha Sparkling Calcaire,0.750,ARG1066,$13.33,12.99,,,,,,,91 pts Wine Enthusiast,,,
Australia,New South Wales,De Bortoli,Noble One Botrytis Semillon,0.375,AUS1032,$29.99,$28.99,,,,,,Female Winemaker,91 pts Wine Enthusiast,,,
Australia,New South Wales,De Bortoli,Old Boys Tawny 21Y,0.500,AUS1033,$49.99,$47.99,,,,,,Female Winemaker,94 pts Wine Enthusiast,,,
Australia,Yarra Valley,De Bortoli,De Bortoli Yarra Valley Estate Pinot Noir,0.750,AUS1038,$23.33,$22.50,,,,,,Female Winemaker,,,,
Australia,Barossa,Lambert Estate,Lambert Estate Black Sheep Red Blend,0.750,AUS1003,$13.33,12.66,$12.00,,,,,Female Winemaker,,,,
Australia,Barossa,Lambert Estate,Lambert Estate A Thousand Words Chardonnay,0.750,AUS1037,$14.66,13.99,$13.50,,,,,Female Winemaker,,,,
Australia,Barossa,Lambert Estate,Lambert Estate Chocolatier,0.750,AUS1005,$16.67,15.99,,,,,,Female Winemaker,,,,x
Australia,Barossa,Lambert Estate,Lambert Estate Commitment Shiraz,0.750,AUS1002,$19.99,18.99,,,,,,Female Winemaker,,,,
Australia,Barossa,Lambert Estate,Lambert Estate First Chapter,0.750,AUS1004,$11.99,11.25,,,,,,Female Winemaker,,,,
Australia,Barossa,Lambert Estate,Lambert Estate Thoroughbred Cabernet Sauvignon,0.750,AUS1001,$19.99,18.99,,,,,,Female Winemaker,,,,
