Warehouse,Account,Item number,Item type,Supplier,Category,Brand,Name,Batch,SKU,Vintage,Style,Colour,Varieties,Cases,Items per case,Unit quantity,Unit,Barrel or tank,Liters,Unit COGS,COGS,Pending orders (cases),Pending orders (unit quantity),Pending goods received (cases),Pending goods received (unit quantity),Warehouse Location
Baltimore,Well Crafted Wine & Beverage Co.,14590,Wine,Collina San Ponzio (Supplier),Italian,Collina San Ponzio,Arneis,,ITA1032,2020,Still,White,,0.17,12,2,750 ml,,1.5,0,0,0,0,0,0,
Baltimore,Well Crafted Wine & Beverage Co.,11669,Wine,Vina Aljibes,Spanish,Crimson Clover RED,Cabernet Sauvignon,,SPA1231,2019,Still,Red,Cabernet Sauvignon,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,22-A1
Baltimore,Well Crafted Wine & Beverage Co.,8759,Wine,Azienda Agricola Crosarola,Italian,Crosarola,Ripasso,,ITA1036,2017,,,,0.17,6,1,750 ml,,0.75,0,0,0,0,0,0,
Baltimore,Well Crafted Wine & Beverage Co.,20782,Wine,Hendry,Californian,Hendry,Cabernet Sauvignon,,CAL1205,2018,Still,Red,,0.17,12,2,750 ml,,1.5,0,0,0,0,0,0,17-A9
Baltimore,Well Crafted Wine & Beverage Co.,11894,Wine,Hendry,Californian,Hendry,HRW Pinot Noir,,CAL1198,2018,Still,Red,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,
Baltimore,Well Crafted Wine & Beverage Co.,23070,Wine,Hendry,Californian,Hendry,HRW Pinot Noir,,CAL1198,2022,Still,Red,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,17-A9
Baltimore,Well Crafted Wine & Beverage Co.,12974,Wine,Noble Hill Winery,South African,Noble Hill,Mourvèdre Rosé,,SAF1007,2020,Still,Rose,Mourvèdre,1,12,12,750 ml,,9,0,0,0,0,0,0,09-D2
Baltimore,Well Crafted Wine & Beverage Co.,4503,Wine,Optima Winery,Californian,Optima,Alexander Valley Duffy Vineyard Cabernet Sauvignon Reserve,,CAL1111,2014,,Red,,0.17,12,2,750 ml,,1.5,0,0,0,0,0,0,17-A10
Baltimore,Well Crafted Wine & Beverage Co.,15249,Wine,Palmateer Wine Group,Californian,Raywood,Sauvignon Blanc,,CAL1238,2020,Still,White,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,
Baltimore,Well Crafted Wine & Beverage Co.,11729,Wine,Remhoogte,South African,Remhoogte,Soaring Eagle,,SAF1016,2019,Still,Red,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,17-A4
Baltimore,Well Crafted Wine & Beverage Co.,6865,Wine,Thelema Mountain Vineyards,South African,Sutherland,Syrah,,SAF1041,2015,Still,Red,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,
Lanterna (Maryland),Well Crafted Wine & Beverage Co.,16995,Wine,,Z- Samples,Champagne et Villages,Reserve,,,,,,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,
Not specified,Well Crafted Wine & Beverage Co.,28569,Wine,Tenuta Talamonti,Italian,Colle Corviano,Trebbiano d'Abruzzo,,ITA1057,2024,Still,White,,2,12,24,750 ml,,18,0,0,0,0,0,0,14-I1 / 14-I3 / 15-H3
Not specified,Well Crafted Wine & Beverage Co.,17807,Wine,Jeff Cohn Cellars,Californian,Jeff Cohn,Pure Yum Blend,,CAL1292,2018,,,"Syrah, Grenache",0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,10-H1
Storage,Well Crafted Wine & Beverage Co.,19988,Wine,Storage- Riojanas,Storage,Alacer,Roble,5001601,RIO1001,2020,,,,4.33,6,26,750 ml,,19.5,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,24200,Wine,Bodegas Riojanas1,Storage,Albina,Essencia Tinto Reserva,,RIO1063,2011,,,,5,1,5,750 ml,,3.75,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,20021,Wine,Storage- Riojanas,Storage,Cuppedia,Vermouth,2025085,RIO1035,NV,,,,20.67,6,124,1 l,,124,0,0,0,0,0,0,18-H1
Storage,Well Crafted Wine & Beverage Co.,25487,Wine,Storage- Riojanas,Storage,,Monte Real Gran Reserva,,RIO1072,1975,,,,1.5,12,18,750 ml,,13.5,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,25486,Wine,Storage- Riojanas,Storage,,Monte Real Gran Reserva,,RIO1071,1978,,,,0.92,12,11,750 ml,,8.25,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,25545,Wine,Storage- Riojanas,Storage,,Monte Real Gran Reserva,,RIO1075,2009,,,,36.5,12,438,750 ml,,328.5,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,28521,Wine,Storage- Riojanas,Storage,Monte Real,Blanco Gran Reserva,,RIO1082,2019,,,,19.33,6,116,750 ml,,87,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,28522,Wine,Storage- Riojanas,Storage,Monte Real,Blanco Tempranillo,,RIO1084,2023,,,,24.17,6,145,750 ml,,108.75,0,0,0,0,0,0,19-I2
Storage,Well Crafted Wine & Beverage Co.,29293,Wine,Storage- Riojanas,Storage,Monte Real,Cepas Viejas,,RIO1088,2022,,,,77,6,462,750 ml,,346.5,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,19999,Wine,Storage- Riojanas,Storage,Monte Real,Cepas Viejas  (6 pack),5001599,RIO1011,2021,,,,168.5,6,1011,750 ml,,758.25,0,0,0,0,0,0,18-J / 19-H1
Storage,Well Crafted Wine & Beverage Co.,28517,Wine,Storage- Riojanas,Storage,Monte Real,Crianza,,RIO1079,2022,,,,311,12,3732,750 ml,,"2,799.00",0,0,0,0,0,0,19-H1 / 19-H2
Storage,Well Crafted Wine & Beverage Co.,20004,Wine,Storage- Riojanas,Storage,Monte Real,Cuvee,1012808,RIO1018,2017,,,,21.67,6,130,750 ml,,97.5,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,23356,Wine,Storage- Riojanas,Storage,Monte Real,Gran Reserva,,RIO1050,1964,,,,1.33,12,16,750 ml,,12,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,20009,Wine,Storage- Riojanas,Storage,Monte Real,Gran Reserva,,RIO1023,2001,,,,48.75,12,585,750 ml,,438.75,0,0,0,0,0,0,18-I1
Storage,Well Crafted Wine & Beverage Co.,24186,Wine,Storage- Riojanas,Storage,Monte Real,Gran Reserva,,RIO1055,2010,,,,1,12,12,750 ml,,9,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,20008,Wine,Storage- Riojanas,Storage,Monte Real,Gran Reserva,2036042,RIO1021,2014,,,,34.75,12,417,750 ml,,312.75,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,29290,Wine,Storage- Riojanas,Storage,Monte Real,Gran Reserva,,RIO1086,2018,,,,86.75,12,1041,750 ml,,780.75,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,25899,Wine,Storage- Riojanas,Storage,Monte Real,Reserva de Familia,,RIO1078,2020,Still,Red,,339.33,12,4072,750 ml,,"3,054.00",0,0,0,0,0,0,19-I3 / 18-I / 18-J
Storage,Well Crafted Wine & Beverage Co.,29295,Wine,Storage- Riojanas,Storage,Monte Real,Rosado,,RIO1090,2024,,,,100,6,600,750 ml,,450,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,25543,Wine,Storage- Riojanas,Storage,Monte Real,Tempranillo Reserva Blanco,,RIO1073,2020,,,,2.67,6,16,750 ml,,12,0,0,0,0,0,0,18-H
Storage,Well Crafted Wine & Beverage Co.,19993,Wine,Storage- Riojanas,Storage,Penamonte,C. Privada,747528,RIO1005,2014,,,,14.5,6,87,750 ml,,65.25,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,19992,Wine,Storage- Riojanas,Storage,Penamonte,C. Privada,C120044061,RIO1005,2014,,,,30,6,180,750 ml,,135,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,28518,Wine,Storage- Riojanas,Storage,Veiga,Naúm,,RIO1080,2024,,,,274.42,12,3293,750 ml,,"2,469.75",0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,20022,Wine,Storage- Riojanas,Storage,Vina Albina,Blanco Reserva,549514,RIO1038,2001,,,,6,12,72,750 ml,,54,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,20024,Wine,Storage- Riojanas,Storage,Vina Albina,Crianza,5001590,RIO1040,2020,,,,10.5,12,126,750 ml,,94.5,0,0,0,0,0,0,19-H
Storage,Well Crafted Wine & Beverage Co.,23360,Wine,Storage- Riojanas,Storage,Vina Albina,Crianza,,RIO1065,2021,,,,35,12,420,750 ml,,315,0,0,0,0,0,0,19-I3
Storage,Well Crafted Wine & Beverage Co.,28520,Wine,Storage- Riojanas,Storage,Vina Albina,Crianza,,RIO1083,2022,,,,95,12,1140,750 ml,,855,0,0,0,0,0,0,19-I3
