SKU,Product Name,Brand,Well Crafted Bottles,Catalog Available,Inventory Available,Difference,% Error
RIO1080,Naúm,Veiga,3293,0,3293,-3293,-100.00
SPA1143,Pilgrim Mencia,Bierzo,226,46,46,-180,-79.65
RIO1044,GAR,Viore GAR,129,0,129,-129,-100.00
SPA1358,Lolea Floral Spritz,Park Street (Bodega Barcelona),173,53,53,-120,-69.36
SPA1257,Rose Sparkling,Born,258,162,162,-96,-37.21
PL1001,Private Label Installment,,-44,0,0,44,-100.00
SAF1101,Smuggled Vines Chardonnay,Backsberg,83,47,47,-36,-43.37
SPA1070,Sameiras Blanco,Ribeiro,697,661,661,-36,-5.16
FRA1086,Orange,Chateau Maris,-30.96,0,0,30.96,-100.00
SPA1249,Rose,Costa del Maresme,22,0,22,-22,-100.00
FRA1071,iCI,Domaine du Joncier,22,0,22,-22,-100.00
Shipping1001,Shipping- Domestic,,-15,0,0,15,-100.00
SPA1359,Lolea Citrus Spritz,Park Street (Bodega Barcelona),268,256,256,-12,-4.48
FRA1108,Pinot Noir Cuvee Reserve,Maison Roche de Bellene Bourgogne,-9,0,0,9,-100.00
FRA1188,Vin de France Organic Rouge Keg SAMPLE,Well Crafted,-6,0,0,6,-100.00
FRA1038,Las Combes,Chateau Maris,-2.04,0,0,2.04,-100.00
SPA1173,Ivori Garnatxa Syrah,Alella,-0.96,0,0,0.96,-100.00
CAL1298,Surreptitious Rose,Aratas,-0.96,0,0,0.96,-100.00
NON1014,Artis NA Brut Blanc,Artis,-0.96,0,0,0.96,-100.00
FRA1035,La Touge Organic,Chateau Maris,-0.96,0,0,0.96,-100.00
CAL1346,Pure Pink Rose,Jeff Cohn Cellars,-0.96,0,0,0.96,-100.00
CREDIT1,Customer Credit,,0,0,0,0,
CAL1093,Clementine Carter Santa Barbara Highlands Grenache,Clementine Carter,0,0,0,0,
CAL1209,Hendry 375 ml Pinot Noir,Hendry,0,0,0,0,
CAL1214,Hendry Library Release Cabernet Sauvignon,Hendry,0,0,0,0,
CAL1372,Macauley Reserve Napa Cabernet Sauvignon,Macauley Vineyard,0,0,0,0,
CAL1374,Macauley Oakville Ranch Cabernet Sauvignon,Macauley Vineyard,0,0,0,0,
CAL1365,Oleandri Napa Valley Cabernet Sauvignon,Oleandri,0,0,0,0,
CAL1310,Pomar Junction Cab Forward,Pomar Junction,0,0,0,0,
CAL1181,Saddleback Cellars Cabernet Sauvignon Reserve,Saddleback Cellars,0,0,0,0,
SAF1116,Baleia Chardonnay,Baleia,0,0,0,0,
CAL1055,Skylark Alondra Cabernet Sauvignon,Skylark Wines,0,0,0,0,
"CAL1333
CAL1334",STEL+MAR Red Blend,STEL+MAR,0,0,0,0,
WAS1032,Armstrong Syrah,Armstrong Winery,0,0,0,0,
SAF1096,Backsberg John Martin Red Blend,Backsberg,0,0,0,0,
FRA1092,Domaine Borgeot Chassange Montrachet 1er Cru Les Chenevottes Blanc,Domaine Borgeot,0,0,0,0,
WAS1012,Armstrong Bogie's Blend,Armstrong Winery,0,0,0,0,
RIO1041,Gran Reserva (RIO1041),Vina Albina,0,0,0,0,
WAS1010,Armstrong Columbia Valley Cabernet Sauvignon,Armstrong Winery,0,0,0,0,
FRA1113,Domaine de Bellene Cotes de Nuits Village,Bellene,0,0,0,0,
FRA1111,Maison Roche de Bellene Chambolle-Musigny VV,Bellene,0,0,0,0,
FRA1053,Domaine des Perrelles Moulin a Vent 375 ml,Domaine des Perrelles,0,0,0,0,
FRA1130,Domaine des Rabichattes Pouilly Fume Chant de Cris,Domaine des Rabichattes,0,0,0,0,
ITA1006,Barone Di Bernaj Nero D'Avola / Syrah Terre Siciliane,Cantine Madaudo,0,0,0,0,
SAF1121,BEV Back Roads Petite Sirah,Black Elephant Vintners,0,0,0,0,
CAL1260,Clementine Carter Portico Grenache,Clementine Carter,0,0,0,0,
CAL1094,Clementine Carter Graciano,Clementine Carter,0,0,0,0,
CAL1221,Campus Oaks Chardonnay,Gnekow Family Winery,0,0,0,0,
ITA1110,Frico Rosso Sangiovese,Scarpetta (Northern VA Only),0,0,0,0,
ITA1094,Avoglia Negroamaro,Giustini,0,0,0,0,
NWZ1003,Orchard Lane Pinot Noir,Sugar Loaf Wines,0,0,0,0,
NWZ1004,Orchard Lane Riesling,Sugar Loaf Wines,0,0,0,0,
NON1035,Free Spirits NA Vermouth,Free Spirits,0,0,0,0,
ORO1057,Les Brebis Walnut Hill Pinot Noir,Les Brebis,0,0,0,0,
ORO1034,Libertine Barncat Riesling 2020,Libertine Wines,0,0,0,0,
ORO1021,Libertine Syrah #3,Libertine Wines,0,0,0,0,
ORO1032,One Heart Vineyard Field Blend,Libertine Wines,0,0,0,0,
ORO1001,River's Edge Pinot Gris,River's Edge,0,0,0,0,
POR1005,Quinta Picouto de Cima Branco,Quinta Picouto de Cima,0,0,0,0,
SPA1141,Bierzo Pilgrim Crianza,Bodegas Godelia,0,0,0,0,
SPA1028,Emporda Dinarells Negre,Agricola Garriguella,0,0,0,0,
FRA1166,Bauget-Jouette Cuvee Jouette 2005 Magnum,Bauget-Jouette,0,0,0,0,
FRA1039,Maris Les Amandiers,Cordier USA,0,0,0,0,
SPA1245,Queiron Mi Lugar,Queiron,0,0,0,0,
UKR1020,Shabo Grand Reserve Chardonnay,Shabo,0,0,0,0,
UKR1019,Shabo Limited Edition ( Kakhetian) Qvevri Telti-Kuruk,Shabo,0,0,0,0,
UKR1018,Shabo Reserve Dry Rose,Shabo,0,0,0,0,
UKR1025,Shabo Sparkling Brut Rose PrimoSecco,Shabo,0,0,0,0,
