id,tenantId,externalId,name,accountNumber,billingEmail,phone,street1,street2,city,state,postalCode,country,paymentTerms,orderingPaceDays,establishedRevenue,createdAt,updatedAt,averageOrderIntervalDays,closedReason,dormancySince,isPermanentlyClosed,lastOrderDate,nextExpectedOrderDate,reactivatedDate,riskStatus,salesRepId
182c3a05-b401-49e3-b3f1-b4ebfbe6f4b2,58b8126a-2d2f-4f55-bc98-5b6784800bed,1 West DuPont Circle Wine and Liquor,1 West DuPont Circle Wine and Liquor,,,,,,,,,United States,Net 30,,,2025-10-18 14:15:34.966,2025-10-19 13:48:45.824,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
22019c98-e9e8-43b8-b546-44195f7d17c4,58b8126a-2d2f-4f55-bc98-5b6784800bed,103 Wine & Spirits,103 Wine & Spirits,,,,,,,,,United States,Net 30,,,2025-10-18 14:15:36.12,2025-10-19 13:49:05.162,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
25432f42-ab31-4d37-9e5c-f61befb4d01a,58b8126a-2d2f-4f55-bc98-5b6784800bed,3 Star,3 Star,,,,"1305 W. Seventh Street,",,Frederick,md,21701,United States,Net 30,,,2025-10-18 14:15:41.935,2025-10-19 13:49:11.654,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
27db192b-20a6-48c3-b972-950bd82b6e8b,58b8126a-2d2f-4f55-bc98-5b6784800bed,40 West Liquors,40 West Liquors,,,,6326 Baltimore National Pike,,Catonsville,MD,21228,United States,Net 30,,,2025-10-18 14:15:42.795,2025-10-19 13:49:17.933,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
282d0964-c329-4f36-abbd-3533c8efbcc3,58b8126a-2d2f-4f55-bc98-5b6784800bed,91775,2 Silos Brewing,91775,,571-285-7200,9925 Discovery Blvd,,Manassas,VA,20109,United States,Net 30,,,2025-10-18 14:15:39.945,2025-10-19 13:49:18.459,,,,f,2025-10-05 00:00:00,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
289e24ce-df04-43d6-80c7-6e8d97b13d49,58b8126a-2d2f-4f55-bc98-5b6784800bed,Croc's 19th street bistro,Croc's 19th street bistro,,"620 19th street, Virginia Beach, Va. 23451",7574725444,620 19th street,,Virginia Beach,VA,23451,United States,Net 30,,,2025-10-18 14:20:32.379,2025-10-19 13:49:19.392,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
2d6c29e5-f857-43bf-9ee3-6fd66a290046,58b8126a-2d2f-4f55-bc98-5b6784800bed,49 West Coffeehouse Wine Bar & Gallery,49 West Coffeehouse Wine Bar & Gallery,,,,49 West Street,,Annapolis,MD,21401,United States,Net 30,,,2025-10-18 14:15:43.938,2025-10-19 13:49:28.823,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
2e122ae1-0227-4599-89e5-4107dcf82e1e,58b8126a-2d2f-4f55-bc98-5b6784800bed,13.5% Wine Bar - CLOSED,13.5% Wine Bar - CLOSED,,,,1117 West 36th Street,,Baltimore,MD,21211,United States,Net 30,,,2025-10-18 14:15:36.687,2025-10-19 13:49:30.841,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
306d04a4-8d1b-4854-ace2-6a5f3de43591,58b8126a-2d2f-4f55-bc98-5b6784800bed,64172,219 Restaurant,64172,,757-201-2739,219 Granby Street,,Norfolk,VA,23510,United States,Net 30,,,2025-10-18 14:15:40.797,2025-10-19 13:49:36.078,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
3f42b37b-9fed-4739-823a-61142d9bc830,58b8126a-2d2f-4f55-bc98-5b6784800bed,1757 Golf Club,1757 Golf Club,,,,45120 Waxpool Rd,,Dulles,VA,20166,United States,Net 30,,,2025-10-18 14:15:37.732,2025-10-19 13:50:08.908,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
41beb00d-fd42-4b7a-96a6-9f66dff1cf0f,58b8126a-2d2f-4f55-bc98-5b6784800bed,24633,7 Seven Food Store,24633,,,3518 Moncure Rd,,Falls Church,VA,22041,United States,Net 30,,,2025-10-18 14:15:45.663,2025-10-19 13:50:13.616,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
4498ae09-319d-428f-9680-290649326dbe,58b8126a-2d2f-4f55-bc98-5b6784800bed,87137,1608 Crafthouse,87137,,757-965-4510,1608 Pleasure House Road,,Virginia Beach,VA,23455,United States,Net 30,,,2025-10-18 14:15:37.596,2025-10-19 13:50:20.887,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
47d61028-bf42-4729-bbda-6793d3581995,58b8126a-2d2f-4f55-bc98-5b6784800bed,100 Lots Kitchen & Bar,100 Lots Kitchen & Bar,,,4436236340,74 W Central Ave,,Edgewater,MD,21037,United States,Net 30,,,2025-10-18 14:15:35.111,2025-10-19 13:50:26.402,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
4c51f0e1-7966-420d-adcc-66991710056a,58b8126a-2d2f-4f55-bc98-5b6784800bed,013485391,1870 Restaurant & Bar,013485391,,,13310 Midlothian TPKE,,Midlothian,VA,23113,United States,Net 30,,,2025-10-18 14:15:39.632,2025-10-19 13:50:36.917,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
4caf49f1-cd27-494d-9a48-8d20268eb6c3,58b8126a-2d2f-4f55-bc98-5b6784800bed,R-A1031-25,3rd Base Fine Wine & Spirits,R-A1031-25,,(410) 734-4132,2029 S. Fountain Green Rd,,Bel air,MD,21015,United States,Net 30,,,2025-10-18 14:15:42.369,2025-10-19 13:50:37.714,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
5c12ccb3-b401-48d4-8240-f200cbda1296,58b8126a-2d2f-4f55-bc98-5b6784800bed,1772 Rooftop on Main,1772 Rooftop on Main,,,662-636-9663,18 S. Roanoke Street,,Fincastle,VA,24090,United States,Net 30,,,2025-10-18 14:15:38.169,2025-10-19 13:51:10.01,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
5f6894c8-0583-4fd1-b156-740336662ddb,58b8126a-2d2f-4f55-bc98-5b6784800bed,LBD7 089,1919,LBD7 089,,(443) 844-5203,1919 Fleet St.,,Baltimore,MD,21231,United States,Net 30,,,2025-10-18 14:15:39.802,2025-10-19 13:51:17.686,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
645016a4-af82-4cbe-8575-6dd4bc0a589b,58b8126a-2d2f-4f55-bc98-5b6784800bed,28074,456 Fish,28074,,,456 Granby St,,Norfolk,VA,23510,United States,Net 30,,,2025-10-18 14:15:43.652,2025-10-19 13:51:27.936,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
85e2eef3-7849-40d9-bf05-b5a55f844ea2,58b8126a-2d2f-4f55-bc98-5b6784800bed,3 Sheilas Wine and Spirits,3 Sheilas Wine and Spirits,,,,1835 E 6th Street,Unit 21,Tempe,AZ,85288,United States,Net 30,,,2025-10-18 14:15:41.797,2025-10-19 13:52:38.296,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
8ba3eb38-33e1-40b9-ab97-b317cf67a122,58b8126a-2d2f-4f55-bc98-5b6784800bed,068351,147 North Bar,068351,,540-974-2146,147 North Loudoun Street,,Winchester,VA,22601,United States,Net 30,,,2025-10-18 14:15:37.28,2025-10-19 13:52:49.609,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
8d8df523-4ee7-4118-a31b-1849e6f42fa3,58b8126a-2d2f-4f55-bc98-5b6784800bed,4021 Pub,4021 Pub,,,410-476-6202,4021 Main Street,,Trappe,MD,21673,United States,Net 30,,,2025-10-18 14:15:43.21,2025-10-19 13:52:52.23,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
9e308fd6-43fa-476d-a975-042f97df296a,58b8126a-2d2f-4f55-bc98-5b6784800bed,50/50 Tap House,50/50 Tap House,,,540-773-4986,29 West Cork Street,,Winchester,VA,22601,United States,Net 30,,,2025-10-18 14:15:45.235,2025-10-19 13:53:27.47,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
a0a434c7-b342-42db-88f8-73c12340c072,58b8126a-2d2f-4f55-bc98-5b6784800bed,56th Street Market,56th Street Market,,,,5601 Coastal Highway,Unit 3,Ocean City,MD,21842,United States,Net 30,,,2025-10-18 14:15:45.389,2025-10-19 13:53:32.905,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
a28d3dfa-5b0b-4ce2-8d29-3c7f705646b1,58b8126a-2d2f-4f55-bc98-5b6784800bed,20190106,8 Days A Week,20190106,,4108821963,1700 Taylor Ave,,Parkville,MD,21234,United States,Net 30,,,2025-10-18 14:15:46.279,2025-10-19 13:53:36.746,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
b2d6d016-9cb9-40fd-9651-e252517efe7e,58b8126a-2d2f-4f55-bc98-5b6784800bed,5 Tara Indian Cuisine,5 Tara Indian Cuisine,,,571-383-0624,1600 Village Market Blvd SE,#132,Leesburg,VA,20175,United States,Net 30,,,2025-10-18 14:15:44.942,2025-10-19 13:54:09.259,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
b631ccdf-01d2-4216-bb7e-c487c2a656e2,58b8126a-2d2f-4f55-bc98-5b6784800bed,087686,3 Stars Brewing,087686,,202-486-7664.,6400 Chillum Place NW,,,DC,20012,United States,Net 30,,,2025-10-18 14:15:42.221,2025-10-19 13:54:16.733,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
ba48eeb2-817c-4e91-8f28-f3b12020a29e,58b8126a-2d2f-4f55-bc98-5b6784800bed,20160183,40 west discount liquors,20160183,,,6326 Baltimore national pike,,Baltimore,MD,21228,United States,Net 30,,,2025-10-18 14:15:42.508,2025-10-19 13:54:24.536,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
bf7d2b45-9c9a-471a-abb0-7ae350b8fb7d,58b8126a-2d2f-4f55-bc98-5b6784800bed,1836 Kitchen and Tap Room,1836 Kitchen and Tap Room,,,,34 E. Broadway,,Lovetsville,VA,20180,United States,Net 30,,,2025-10-18 14:15:39.142,2025-10-19 13:54:33.311,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
c425e590-0d3f-4e93-98aa-d8c2aa6fb705,58b8126a-2d2f-4f55-bc98-5b6784800bed,20240039,5 Oclock Wine,20240039,,,11299 Owings Mills Blvd,,Owings Mills,MD,21117,United States,Net 30,,,2025-10-18 14:15:44.376,2025-10-19 13:54:42.292,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
d0ba16ff-1f9f-4e18-8fc7-7bb3ceabcb44,58b8126a-2d2f-4f55-bc98-5b6784800bed,13156,2941 Restaurant,13156,,,2941 Fairview Park Drive,,Falls Church,VA,22042,United States,Net 30,,,2025-10-18 14:15:41.5,2025-10-19 13:55:13.023,14,,,f,2025-10-05 00:00:00,2025-10-19 00:00:00,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
d4106df4-c1ae-4c24-84ea-4065c0f1dbed,58b8126a-2d2f-4f55-bc98-5b6784800bed,LBD7 180,1157 Bar & Kitchen,LBD7 180,,c: 410-499-8971,1157 Haubert Street,,Baltimore,MD,21230,United States,Net 30,,,2025-10-18 14:15:36.288,2025-10-19 13:55:21.121,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
df843a53-f9a8-47e9-a318-8751fecf7694,58b8126a-2d2f-4f55-bc98-5b6784800bed,009289,1789,009289,,,226 36th Street NW,,Washington,DC,20007,United States,Net 30,,,2025-10-18 14:15:38.44,2025-10-19 13:55:41.649,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
eeb66836-ea83-468d-834f-d2e91b94130c,58b8126a-2d2f-4f55-bc98-5b6784800bed,21 Great American Bistro,21 Great American Bistro,,,,,,,,,United States,Net 30,,,2025-10-18 14:15:40.658,2025-10-19 13:56:10.155,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
f587b2d2-cfc0-4934-b3ef-4592ad891bc0,58b8126a-2d2f-4f55-bc98-5b6784800bed,096224,&pizza K Street,096224,,,1400 K Street NW,,Washington,DC,20005,United States,Net 30,,,2025-10-18 14:15:34.681,2025-10-19 13:56:23.455,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
f6da85e6-793b-44bb-bcc2-f0866f5a2fee,58b8126a-2d2f-4f55-bc98-5b6784800bed,090189,&pizza Hotel Hive,090189,,,2224 F Street NW,,Washington,DC,,United States,Net 30,,,2025-10-18 14:15:34.268,2025-10-19 13:56:26.318,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
fb2b0e87-5a2e-416f-9ab1-768431b9b9e2,58b8126a-2d2f-4f55-bc98-5b6784800bed,Shavon,Shavon,,,,,,,,,United States,Net 30,,,2025-10-18 14:31:44.948,2025-10-19 13:56:34.948,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
08eb41f5-c58d-4f6e-a93c-1aaa5bd3ecc1,58b8126a-2d2f-4f55-bc98-5b6784800bed,,Ancona's Branchville,,,,,,,,,US,Net 30,,,2025-10-18 18:55:28.842,2025-10-19 13:48:17.695,6,,,f,2025-10-17 00:00:00,2025-10-23 00:00:00,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
0f0c3f98-eb9c-40ef-887b-a3de0bf45664,58b8126a-2d2f-4f55-bc98-5b6784800bed,AAFES Ft. Story Express,AAFES Ft. Story Express,,,,Ft. Story Express,Bldg. 593 Atlantic Ave.,Virginia Beach,VA,23451,United States,Net 30,,,2025-10-18 14:15:54.655,2025-10-19 13:48:28.684,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
140f1fd0-2025-4716-ad52-743ae36c7665,58b8126a-2d2f-4f55-bc98-5b6784800bed,A-Town Arlington,A-Town Arlington,,,,,,,,,United States,Net 30,,,2025-10-18 14:15:50.478,2025-10-19 13:48:37.544,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
152f6029-945f-42f5-874e-be3404639103,58b8126a-2d2f-4f55-bc98-5b6784800bed,A Chef's Kitchen,A Chef's Kitchen,,,,501 Prince George St,,Williamsburg,VA,23185,United States,Net 30,,,2025-10-18 14:15:48.177,2025-10-19 13:48:39.701,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
16054414-f1de-4a59-b987-4abeec39c43b,58b8126a-2d2f-4f55-bc98-5b6784800bed,AAFES Belvoir South Post,AAFES Belvoir South Post,,,,9600 Pohick Road,(At Gunston Road),Fort Belvoir,VA,22060,United States,Net 30,,,2025-10-18 14:15:51.4,2025-10-19 13:48:41.612,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
19d4a6cc-7c1e-4ade-b798-37ce4c84b0e3,58b8126a-2d2f-4f55-bc98-5b6784800bed,AAFES Langley Bethel Shoppette,AAFES Langley Bethel Shoppette,,,757-865-1048,1796 First Street,,Langley AFB,VA,23665,United States,Net 30,,,2025-10-18 14:15:54.943,2025-10-19 13:48:48.572,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
1da8e3cc-ee3a-43ad-ab0f-54160ae426bd,58b8126a-2d2f-4f55-bc98-5b6784800bed,AAFES - Bolling AFB Shoppette (JBAB Main Exchange),AAFES - Bolling AFB Shoppette (JBAB Main Exchange),,,,195 Chappie James Blvd.,Building 195,Washington,DC,20032,United States,Net 30,,,2025-10-18 14:15:52.513,2025-10-19 13:48:56.439,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
2092226b-91a8-4eff-8422-3f56f5032401,58b8126a-2d2f-4f55-bc98-5b6784800bed,075674,About Thyme,075674,,540-219-3905,128 E. Davis Street,,Culpeper,VA,22701,United States,Net 30,,,2025-10-18 14:15:57.985,2025-10-19 13:49:02.684,21,,,f,2025-10-04 00:00:00,2025-10-25 00:00:00,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
3417e4db-76b0-416e-8b1a-be966a46c04c,58b8126a-2d2f-4f55-bc98-5b6784800bed,A Deli Italian Food and wine,A Deli Italian Food and wine,,,5714075060,10955 Fairfax Blvd,Ste 104,Fairfax,VA,22030,United States,Net 30,,,2025-10-18 14:15:48.742,2025-10-19 13:49:43.867,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
38b3cae6-c0f1-40f9-9279-b9fb3f461500,58b8126a-2d2f-4f55-bc98-5b6784800bed,AAFES PX Ft Eustis,AAFES PX Ft Eustis,,,,704 Washington Blvd,,Fort Eustis,VA,23604,United States,Net 30,,,2025-10-18 14:15:53.506,2025-10-19 13:49:53.583,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
40fef971-d4e5-42fc-9493-6cb9e5980dcc,58b8126a-2d2f-4f55-bc98-5b6784800bed,A & A Wine and Spirits (Wegman's Gambrills),A & A Wine and Spirits (Wegman's Gambrills),,,4432552913,1415 S Main Chapel Way,,Gambrills,MD,21054,United States,Net 30,,,2025-10-18 14:15:47.703,2025-10-19 13:50:11.357,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
4400b855-f0a8-403b-a797-a4ad338535b4,58b8126a-2d2f-4f55-bc98-5b6784800bed,52606,Abbey Road,52606,,757-425-6330,203 22nd street,,Virginia Beach,VA,23451,United States,Net 30,,,2025-10-18 14:15:56.966,2025-10-19 13:50:19.29,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
4e3a464f-93f2-4673-a5b7-05304416db50,58b8126a-2d2f-4f55-bc98-5b6784800bed,AAFES PX Ft Gregg Adams,AAFES PX Ft Gregg Adams,,,,1431 Mahone Ave,,Fort Gregg-Adams,,23801,United States,Net 30,,,2025-10-18 14:15:55.934,2025-10-19 13:50:40.385,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
62b83c08-ce88-4b7f-9402-1a9724680a40,58b8126a-2d2f-4f55-bc98-5b6784800bed,081740,ACAC Shortpump,081740,,804-464-0990,2201 Old Brick Road,,Glen Allen,VA,23060,United States,Net 30,,,2025-10-18 14:15:58.691,2025-10-19 13:51:24.514,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
6cdcc666-a220-427f-ba63-f86ec137c096,58b8126a-2d2f-4f55-bc98-5b6784800bed,AAFESJBA Express,AAFESJBA Express,,,,1569 Colorado Ave,Andrews AFB,Andrews AFB,MD,20762,United States,Net 30,,,2025-10-18 14:15:50.547,2025-10-19 13:51:47.17,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
8bd7305c-0c7d-43f5-9ce5-889721657c1f,58b8126a-2d2f-4f55-bc98-5b6784800bed,75611,A Sharper Palate,75611,,,5511 Lakeside Ave.,,Richmond,VA,23228,United States,Net 30,,,2025-10-18 14:15:49.701,2025-10-19 13:52:49.708,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
8ce0649d-4ab0-41ac-918b-c7938f618c41,58b8126a-2d2f-4f55-bc98-5b6784800bed,7518,Aberdeen Barn,7518,,(434) 284-1012 (c),2018 Holiday Dr,,Charlottesville,VA,22901,United States,Net 30,,,2025-10-18 14:15:57.708,2025-10-19 13:52:51.017,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
94b6c553-3317-4794-9b78-30bc7d264da1,58b8126a-2d2f-4f55-bc98-5b6784800bed,AAFES PX Ft Myer,AAFES PX Ft Myer,,,5717778515,204 Lee Avenue Bldg  #441,,Fort Myer,VA,22211,United States,Net 30,,,2025-10-18 14:15:52.943,2025-10-19 13:53:06.867,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
9ae5c2eb-8f1a-4da1-8659-db6a6bac3412,58b8126a-2d2f-4f55-bc98-5b6784800bed,AAFES Belvoir Main,AAFES Belvoir Main,,,,"8651 John J. Kingman, Bldg 232",,Fort Belvoir,VA,22060,United States,Net 30,,,2025-10-18 14:15:51.81,2025-10-19 13:53:21.02,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
9c82c499-3527-4442-ba66-0e11e9039f41,58b8126a-2d2f-4f55-bc98-5b6784800bed,AAFES Langley Exp/Cl Six,AAFES Langley Exp/Cl Six,,,,61 Tuskegee Airman Blvd,Bldg 245,Langley AFB,VA,23665,United States,Net 30,,,2025-10-18 14:15:55.228,2025-10-19 13:53:24.056,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
9ea98997-3386-4200-853c-292256c8d830,58b8126a-2d2f-4f55-bc98-5b6784800bed,AAFES Belvoir N Post,AAFES Belvoir N Post,,,7033379168,6095 Gorgas Rd.,(At Gunston Road),Fort Belvoir,VA,22060,United States,Net 30,,,2025-10-18 14:15:52.226,2025-10-19 13:53:28.798,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
a534eb9a-b366-47ec-a821-d51a463b8ed2,58b8126a-2d2f-4f55-bc98-5b6784800bed,AAFES-Ft. Gregg Adams/Class VI,AAFES-Ft. Gregg Adams/Class VI,,,804-861-5970 x266,300 A Ave,Bldg 1605,Fort Gregg-Adams,,23801,United States,Net 30,,,2025-10-18 14:15:53.929,2025-10-19 13:53:41.392,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
a7883608-930f-42fc-961e-e6576d16bd80,58b8126a-2d2f-4f55-bc98-5b6784800bed,5bla40,ABD Liquors,5bla40,,,110 W Dares Beach Rd,,Prince Fredrick,MD,20678,United States,Net 30,,,2025-10-18 14:15:57.114,2025-10-19 13:53:45.739,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
ab35f79b-8daf-4249-81b2-548f095804e0,58b8126a-2d2f-4f55-bc98-5b6784800bed,A La Lucia,A La Lucia,,,,,,,,,United States,Net 30,,,2025-10-18 14:15:49.023,2025-10-19 13:53:54.846,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
acf83da5-52ae-4f34-8d96-d3fa54b1f9f7,58b8126a-2d2f-4f55-bc98-5b6784800bed,A Deli - VA,A Deli - VA,,,,13033 World Gate Drive,,Herndon,VA,20170,United States,Net 30,,,2025-10-18 14:15:48.464,2025-10-19 13:53:58.91,,,,f,,,,HEALTHY,73986a15-7951-4f80-b3e4-e7b79049e326
b0584222-9e19-4949-8017-63d91a70fce5,58b8126a-2d2f-4f55-bc98-5b6784800bed,AAFES Ft. Eustis Main Exchange,AAFES Ft. Eustis Main Exchange,,,,Tyler Ave Bldg 1386,,Fort Eustis,VA,23604,United States,Net 30,,,2025-10-18 14:15:54.493,2025-10-19 13:54:04.847,,,,f,,,,HEALTHY,ece838ee-03c8-433c-925b-d48907c675a6
ba3d0f9d-6afb-411d-bd55-a0ae12245be5,58b8126a-2d2f-4f55-bc98-5b6784800bed,A Chateau wine and burger bar,A Chateau wine and burger bar,,,,,,,,,United States,Net 30,,,2025-10-18 14:15:48.111,2025-10-19 13:54:24.433,,,,f,,,,HEALTHY,7375f0ad-769f-49ee-90da-757a9bf069ef
