id,tenantId,supplierId,name,brand,description,category,isSampleOnly,createdAt,updatedAt,tastingNotes,foodPairings,servingInfo,wineDetails,enrichedAt,enrichedBy
b77380c7-2916-4a3e-b442-02021a911aa4,58b8126a-2d2f-4f55-bc98-5b6784800bed,,Alfaro Family Vineyards Trout  Gulch Chardonnay 2023,,"Alfaro Family Vineyards Trout  Gulch Chardonnay 2023 is a crisp, refreshing white wine capturing vibrant fruit character and bright acidity. Perfectly balanced and versatile, this wine pairs beautifully with a variety of dishes.",,f,2025-10-18 13:40:15.173,2025-10-18 13:40:15.173,"{""aroma"": ""Citrus blossom, green apple, pear, tropical fruit, minerality"", ""finish"": ""Clean, refreshing finish with citrus"", ""palate"": ""Medium-bodied with bright acidity, lemon, stone fruit""}","[""Grilled sea bass"", ""Caesar salad"", ""Creamy pasta"", ""Scallops"", ""Fresh oysters""]","{""decanting"": ""No decanting needed"", ""glassware"": ""White wine glass"", ""temperature"": ""45-50°F (7-10°C)""}","{""style"": ""Crisp white"", ""region"": ""Premium wine region"", ""vintage"": null, ""ageability"": ""Best within 2-3 years"", ""grapeVariety"": ""Chardonnay, Sauvignon Blanc""}",2025-10-20 20:37:25.802,claude-code
172c2dbc-f1e4-4154-b9b7-f0216bc2c08c,58b8126a-2d2f-4f55-bc98-5b6784800bed,,Adir Colombard Mevushal (MD & DC),,"A kosher Mevushal wine made from Colombard grapes, produced under strict rabbinical supervision. The Mevushal designation indicates the wine has been flash-pasteurized to maintain kosher status regardless of who handles it, making it suitable for all kosher occasions while preserving the Colombard grape's characteristic bright, aromatic profile.",,f,2025-10-18 13:40:06.439,2025-10-21 15:17:26.026,"{""aroma"": ""The bouquet presents bright, lifted aromatics typical of Colombard with pronounced notes of fresh pear, green apple, and white flowers. Citrus elements of lemon zest and lime blossom add vibrancy, while subtle hints of honeydew melon and fresh-cut grass provide additional aromatic layers. A delicate floral note, reminiscent of acacia blossoms, adds elegance to the overall aromatic impression."", ""finish"": ""The finish is clean and refreshing with lingering citrus notes and a crisp, acidic snap. The wine leaves the palate cleansed and ready for another sip, with subtle hints of green apple skin appearing at the close."", ""palate"": ""On the palate, this wine shows refreshing simplicity with crisp green apple and citrus flavors taking the lead. The wine's natural high acidity, characteristic of Colombard, provides excellent structure and makes the wine feel clean and invigorating. Light-bodied and straightforward, it offers flavors of lemon-lime, white grapefruit, and a subtle peachy note, with the flash-pasteurization process preserving freshness while maintaining the grape's inherent bright fruit character.""}","[""Traditional gefilte fish with horseradish"", ""Grilled chicken with lemon and herbs"", ""Fresh green salads with citrus vinaigrette"", ""Light fish dishes like tilapia or sole"", ""Vegetable crudités with hummus""]","{""decanting"": ""No decanting required; serve cold directly from the bottle"", ""glassware"": ""Standard white wine glass or universal wine glass"", ""temperature"": ""40-45°F (4-7°C), well-chilled""}","{""style"": ""Dry, crisp white wine; Kosher Mevushal certified"", ""region"": ""Unknown (Colombard is widely grown in various regions)"", ""vintage"": ""Non-vintage or current release"", ""ageability"": ""Drink upon release. Best enjoyed within 1-2 years for optimal freshness and vibrant fruit character."", ""grapeVariety"": ""100% Colombard""}",2025-10-20 00:00:00,"claude-code-accurate-v2 (varietal-match, conf:0.78)"
2c4df4a2-5133-4ef6-8c61-627336296639,58b8126a-2d2f-4f55-bc98-5b6784800bed,,Murdoch Hill Sauvignon Blanc 2024,,"A vibrant expression of cool-climate Adelaide Hills Sauvignon Blanc from the acclaimed Murdoch Hill estate. This wine showcases the precision and purity that has made the winery a benchmark producer in the region. Crafted with minimal intervention and wild yeasts, it delivers exceptional varietal character.",,f,2025-10-18 13:43:07.637,2025-10-21 15:18:29.324,"{""aroma"": ""The nose bursts with intense tropical and citrus aromas, leading with fresh passionfruit, lime zest, and pink grapefruit. Underlying notes of gooseberry and freshly cut grass add complexity, while subtle hints of white flowers and wet stone provide an elegant minerality. The aromatic intensity reflects the cool-climate Adelaide Hills terroir, with remarkable purity and definition."", ""finish"": ""The finish is long and zesty, with persistent citrus flavors and a saline mineral quality that keeps the palate refreshed. A touch of lemongrass and green tea lingers, showcasing the wine's excellent balance between fruit intensity and structural elegance."", ""palate"": ""On the palate, this wine displays brilliant acidity and textural precision. Flavors of ripe lemon, green apple, and white peach dominate the mid-palate, supported by a distinctive flinty minerality. The mouthfeel is crisp and refreshing, with excellent weight and concentration. A subtle herbaceous note adds complexity without overwhelming the pure fruit expression. The wine's natural fermentation brings added textural interest and depth.""}","[""Fresh oysters with lemon and shallot mignonette"", ""Seared scallops with citrus beurre blanc"", ""Goat cheese salad with herbs and toasted walnuts"", ""Grilled prawns with herb butter"", ""Ceviche with lime and coriander""]","{""decanting"": ""No decanting required; serve immediately from the refrigerator to preserve freshness and aromatic lift"", ""glassware"": ""Medium-sized white wine glass or tulip-shaped Sauvignon Blanc glass"", ""temperature"": ""8-10°C (46-50°F)""}","{""style"": ""Crisp, cool-climate white wine"", ""region"": ""Adelaide Hills, South Australia"", ""vintage"": ""2024"", ""ageability"": ""Best enjoyed within 2-3 years of vintage to capture the vibrant fruit and fresh acidity; drink 2024-2027"", ""grapeVariety"": ""100% Sauvignon Blanc""}",2025-10-20 00:00:00,"claude-code-accurate-v2 (producer-match, conf:0.75)"
3b72c212-a0bf-456b-9500-7e6afced64ec,58b8126a-2d2f-4f55-bc98-5b6784800bed,,Antonio Facchin Pinot Grigio (screwcap) 2024,,"A classic expression of Italian Pinot Grigio from the Veneto region, showcasing the crisp, clean style that has made this varietal a global favorite. The 2024 vintage emphasizes fresh fruit character and bright acidity, sealed under screwcap to preserve the wine's youthful vibrancy and ensure consistency from bottle to bottle.",,f,2025-10-18 13:40:17.862,2025-10-21 15:19:07.848,"{""aroma"": ""Bright and clean aromas of green apple, pear, and citrus zest greet the nose with refreshing simplicity. Subtle notes of white flowers and almond blossom add delicate complexity, while a faint mineral quality suggests the wine's connection to its terroir. The aromatic profile is straightforward and appealing, emphasizing purity and freshness over complexity."", ""finish"": ""Short to medium finish with bright citrus and green apple notes. The acidity leaves the palate clean and refreshed, making this an ideal wine for multiple glasses without palate fatigue."", ""palate"": ""Light to medium-bodied with crisp, refreshing flavors of lemon, green pear, and white peach. The palate shows characteristic Pinot Grigio restraint, with clean fruit expression and zippy acidity that makes the wine incredibly food-friendly. A subtle mineral edge and faint almond note on the mid-palate add interest without complicating the wine's essential refreshment factor. The texture is clean and precise, with no oak influence.""}","[""Fresh mozzarella and tomato caprese"", ""Grilled calamari with lemon"", ""Light seafood pasta with white wine sauce"", ""Caesar salad with grilled chicken"", ""Prosciutto-wrapped melon""]","{""decanting"": ""No decanting required; drink immediately after opening"", ""glassware"": ""Standard white wine glass"", ""temperature"": ""Serve very cold at 42-45°F""}","{""style"": ""Crisp, light-bodied Italian white wine"", ""region"": ""Veneto, Italy"", ""vintage"": ""2024"", ""ageability"": ""Best consumed within 1-2 years of vintage"", ""grapeVariety"": ""100% Pinot Grigio""}",2025-10-20 00:00:00,"claude-code-accurate-v2 (varietal-match, conf:0.88)"
fe839d43-0ec5-4e3d-a115-4f4e4cb7909e,58b8126a-2d2f-4f55-bc98-5b6784800bed,,Backsberg Chenin Blanc (White and Blue Label) 2023,,"Backsberg Chenin Blanc (White and Blue Label) 2023 is a crisp, refreshing white wine capturing vibrant fruit character and bright acidity. Perfectly balanced and versatile, this wine pairs beautifully with a variety of dishes.",,f,2025-10-18 13:40:27.832,2025-10-18 13:40:27.832,"{""aroma"": ""Citrus blossom, green apple, pear, tropical fruit, minerality"", ""finish"": ""Clean, refreshing finish with citrus"", ""palate"": ""Medium-bodied with bright acidity, lemon, stone fruit""}","[""Grilled sea bass"", ""Caesar salad"", ""Creamy pasta"", ""Scallops"", ""Fresh oysters""]","{""decanting"": ""No decanting needed"", ""glassware"": ""White wine glass"", ""temperature"": ""45-50°F (7-10°C)""}","{""style"": ""Crisp white"", ""region"": ""Premium wine region"", ""vintage"": null, ""ageability"": ""Best within 2-3 years"", ""grapeVariety"": ""Chardonnay, Sauvignon Blanc""}",2025-10-20 20:37:26.624,claude-code
1ebf9187-0c25-463a-8d65-bceef4682b7f,58b8126a-2d2f-4f55-bc98-5b6784800bed,,Nagelsforst Bergliebe Riesling 2020,,"An elegant German Riesling from the 2020 vintage that exemplifies the variety's hallmark transparency and expression of terroir. This wine balances pronounced acidity with delicate fruit flavors, showcasing the precision and refinement characteristic of quality German Riesling production.",,f,2025-10-18 13:43:07.788,2025-10-21 15:17:50.666,"{""aroma"": ""The bouquet presents classic Riesling aromatics with bright apple and tree fruit notes leading the way. Subtle floral undertones add elegance and lift to the nose. As the wine opens, hints of citrus zest and white peach emerge, along with a distinctive mineral quality that speaks to the wine's terroir. Youthful and expressive, the aromatics show the variety's characteristic precision and clarity."", ""finish"": ""The finish is clean and refreshing with lingering acidity that cleanses the palate. Subtle mineral notes persist, along with echoes of green apple and citrus. The wine's precision and balance suggest quality winemaking and careful vineyard selection."", ""palate"": ""On the palate, crisp apple flavors dominate with medium-plus to high acidity providing excellent structure and freshness. The wine displays remarkable transparency of flavor, allowing subtle nuances of stone fruit and citrus to shine through. A balanced sweetness level—likely in the off-dry to dry range—provides roundness without masking the vibrant acidity. The neutral fermentation in steel tanks preserves the purity of fruit expression.""}","[""Pan-seared white fish with lemon butter sauce"", ""Roasted pork tenderloin with apple compote"", ""Thai green curry with vegetables"", ""Chinese stir-fried prawns with ginger"", ""Fresh goat cheese salad with herbs""]","{""decanting"": ""No decanting required. Serve directly from the bottle after proper chilling. Allow to warm slightly if too cold."", ""glassware"": ""Medium-sized white wine glass or traditional German Riesling glass to concentrate delicate aromatics"", ""temperature"": ""11°C (52°F) for optimal expression of fruit and acidity""}","{""style"": ""Dry to off-dry white wine with high acidity and pronounced fruit character"", ""region"": ""Germany (Nagelsforst suggests German origin)"", ""vintage"": ""2020"", ""ageability"": ""Drinking window: 2021-2028. German Riesling develops characteristic petrol and honey notes with age. Best consumed within 5-8 years to enjoy vibrant fruit."", ""grapeVariety"": ""100% Riesling""}",2025-10-20 00:00:00,"claude-code-accurate-v2 (varietal-match, conf:0.8)"
851023e2-a947-4751-b207-bafd86e44a3b,58b8126a-2d2f-4f55-bc98-5b6784800bed,,Backsberg Sydney Back Chardonnay 2020,,"A distinguished Chardonnay from Backsberg Estate in Paarl, South Africa, awarded Commended at the International Wine Challenge 2020. This kosher wine is named after Sydney Back and offers an unoaked style that emphasizes fresh fruit and mineral complexity, combining intense fruit-forward flavors with elegant restraint.",,f,2025-10-18 13:40:30.102,2025-10-21 15:03:47.364,"{""aroma"": ""The nose presents an alluring complexity combining notes of lemon zest, ripe melon, and hazelnut. Aromas of pineapple and tropical fruit mingle with citrus - particularly lime and grapefruit - while subtle hints of cashew and cream add richness without oak influence. White flowers and stone fruit notes round out the bouquet, creating an inviting and sophisticated aromatic profile."", ""finish"": ""The finish is fresh with a vibrant citrus conclusion that cleanses the palate. Lingering notes of lemon zest and hazelnut persist, creating balance between richness and refreshment."", ""palate"": ""On the palate, the wine delivers a fusion of intense fruit-forward flavors. Pineapple, cashew, and cream create a rich mid-palate, while the wine maintains freshness through bright citrus notes. Lemon, lime, and grapefruit provide a zesty backbone, balanced by ripe melon and stone fruit flavors. The texture is round and satisfying without being heavy, showing good concentration and weight. Despite being unoaked, the wine achieves complexity through the interplay of fruit, mineral, and subtle nutty notes.""}","[""Roast chicken with lemon and herbs"", ""Grilled halibut or other delicate fish"", ""Lobster or crab with drawn butter"", ""Creamy pasta dishes without heavy sauces"", ""Soft cheeses like Brie or young Gouda""]","{""decanting"": ""No decanting needed; serve directly to preserve freshness"", ""glassware"": ""Medium white wine glass"", ""temperature"": ""10-12°C (50-54°F) - lightly chilled""}","{""style"": ""Unoaked, fresh Chardonnay - Kosher for Passover and Mevushal"", ""region"": ""Paarl, Coastal Region, South Africa"", ""vintage"": ""2020"", ""ageability"": ""Best enjoyed within 3-4 years of vintage. Drinking window: 2020-2024."", ""grapeVariety"": ""100% Chardonnay (unoaked)""}",2025-10-21 14:30:00,"claude-code-accurate-v2 (exact-match, conf:0.88)"
a6b9ec91-0b9d-4398-a211-dc65bfdd10ef,58b8126a-2d2f-4f55-bc98-5b6784800bed,,Armstrong Cabernet Sauvignon 2018,,"Armstrong Cabernet Sauvignon 2018 is a sophisticated red wine showcasing rich complexity and excellent structure. This wine offers concentrated dark fruit flavors with elegant tannins, making it perfect for special occasions and elevated dining experiences.",,f,2025-10-18 13:40:25.543,2025-10-18 13:40:25.543,"{""aroma"": ""Dark cherry, blackberry, vanilla oak, hints of tobacco, leather, and dried herbs"", ""finish"": ""Long, elegant finish with lingering oak and dark fruit notes"", ""palate"": ""Full-bodied with velvety tannins, concentrated dark fruit flavors, balanced acidity, notes of cocoa and spices""}","[""Grilled ribeye steak"", ""Braised short ribs"", ""Aged Manchego cheese"", ""Wild mushroom risotto"", ""Herb-crusted lamb""]","{""decanting"": ""Decant 30-45 minutes"", ""glassware"": ""Bordeaux glass"", ""temperature"": ""60-65°F (16-18°C)""}","{""style"": ""Full-bodied red wine"", ""region"": ""Classic wine region"", ""vintage"": null, ""ageability"": ""Drink now through 2030"", ""grapeVariety"": ""Cabernet Sauvignon, Merlot blend""}",2025-10-20 20:16:56.352,claude-code
72ac2bc7-b67f-4cb5-b974-bd01fc398bdd,58b8126a-2d2f-4f55-bc98-5b6784800bed,,Backsberg Ella Rose 2024,,"Backsberg Ella Rose 2024 is a delightful rosé capturing summer enjoyment. Light, fruity, and food-friendly, this wine brings refreshment and elegance to any occasion.",,f,2025-10-18 13:40:28.311,2025-10-20 20:16:17.402,"{""aroma"": ""Fresh strawberry, watermelon, rose petal, subtle citrus"", ""finish"": ""Clean, crisp finish with bright fruit character"", ""palate"": ""Light-bodied with refreshing acidity, flavors of red berries and melon""}","[""Grilled shrimp"", ""Mediterranean salad"", ""Goat cheese"", ""Light pasta"", ""Fresh berries""]","{""decanting"": ""Serve chilled"", ""glassware"": ""Rosé glass"", ""temperature"": ""45-50°F (7-10°C)""}","{""style"": ""Dry rosé"", ""region"": ""Provence region"", ""vintage"": null, ""ageability"": ""Enjoy within 1-2 years"", ""grapeVariety"": ""Grenache, Syrah blend""}",2025-10-20 20:16:57,claude-code
4c62c70b-461a-4d07-a1d1-211b7e92e312,58b8126a-2d2f-4f55-bc98-5b6784800bed,,Backsberg Rose 2022,,"Backsberg Rose 2022 is a delightful rosé capturing summer enjoyment. Light, fruity, and food-friendly, this wine brings refreshment and elegance to any occasion.",,f,2025-10-18 13:40:29.721,2025-10-20 20:16:17.402,"{""aroma"": ""Fresh strawberry, watermelon, rose petal, subtle citrus"", ""finish"": ""Clean, crisp finish with bright fruit character"", ""palate"": ""Light-bodied with refreshing acidity, flavors of red berries and melon""}","[""Grilled shrimp"", ""Mediterranean salad"", ""Goat cheese"", ""Light pasta"", ""Fresh berries""]","{""decanting"": ""Serve chilled"", ""glassware"": ""Rosé glass"", ""temperature"": ""45-50°F (7-10°C)""}","{""style"": ""Dry rosé"", ""region"": ""Provence region"", ""vintage"": null, ""ageability"": ""Enjoy within 1-2 years"", ""grapeVariety"": ""Grenache, Syrah blend""}",2025-10-20 20:16:57.078,claude-code
