referenceNumber,invoiceNumber,invoiceDate,total,subtotal,tax,customerName,itemCount
177090,177090,"October 10, 2025",1181.52,,,,6
177091,177091,"October 10, 2025",3,,,,3
177092,177092,"October 10, 2025",5,,,,1
177093,177093,"October 10, 2025",383.76,,,,2
177094,177094,"October 10, 2025",5,,,,1
177096,177096,"October 10, 2025",3.08,,,,7
177099,177099,"October 10, 2025",240,,,,1
177100,177100,"October 10, 2025",7,,,,5
177101,177101,"October 10, 2025",7.42,,,,5
177103,177103,"October 9, 2025",3,,,,0
177104,177104,"October 10, 2025",692.9,,,,4
177105,177105,"October 10, 2025",4,,,,4
177106,177106,"October 10, 2025",1,,,,0
177107,177107,"October 10, 2025",5,,,,6
177108,177108,"October 20, 2025",4,,,,7
177109,177109,"October 10, 2025",0.92,,,,10
177110,177110,"October 17, 2025",409.92,,,,2
177111,177111,"October 10, 2025",4.42,,,,10
177114,177114,"October 10, 2025",3,,,,4
177116,177116,"October 9, 2025",2,,,,1
177117,177117,"October 10, 2025",655.74,,,,7
177118,177118,"October 10, 2025",1.67,,,,1
177119,177119,"October 10, 2025",2,,,,3
177121,177121,"October 13, 2025",8,,,,6
177123,177123,"October 13, 2025",5,,,,1
177125,177125,"October 13, 2025",5,,,,1
177127,177127,"October 10, 2025",596.99,,,,0
177128,177128,"October 10, 2025",1421,,,,1
177129,177129,"September 22, 2025",1386,,,,2
177131,177131,"November 07, 2025",1255.68,,,,5
177132,177132,"October 28, 2025",1343.16,,,,2
177133,177133,"October 16, 2025",1442.76,,,,3
177134,177134,"October 16, 2025",231.84,,,,1
177135,177135,"October 10, 2025",158,,,,2
177136,177136,"October 10, 2025",28907,,,,1
177137,177137,"October 16, 2025",231.84,,,,1
177138,177138,"October 10, 2025",29007,,,,1
177139,177139,"October 15, 2025",284.7,,,,1
177141,177141,"October 10, 2025",11853,,,,5
177142,177142,"October 13, 2025",5,,,,0
177143,177143,"October 13, 2025",2,,,,1
177144,177144,"October 14, 2025",3,,,,6
177145,177145,"October 10, 2025",607.92,,,,2
177146,177146,"October 15, 2025",487.8,,,,2
177147,177147,"October 13, 2025",1,,,,1
177148,177148,"October 13, 2025",1,,,,1
177151,177151,"October 15, 2025",408,,,,2
177154,177154,"October 16, 2025",1211.82,,,,7
177155,177155,"October 10, 2025",27193,,,,1
177157,177157,"October 13, 2025",3,,,,6
177158,177158,"October 13, 2025",10.33,,,,16
177159,177159,"October 14, 2025",3,,,,0
177160,177160,"October 13, 2025",14.17,,,,3
177161,177161,"October 14, 2025",2,,,,1
177166,177166,"October 11, 2025",1.33,,,,5
177167,177167,"October 11, 2025",1.25,,,,4
177168,177168,"October 11, 2025",1.33,,,,6
177169,177169,"October 11, 2025",1.33,,,,6
177170,177170,"October 11, 2025",1.33,,,,6
177171,177171,"October 11, 2025",1.33,,,,5
177172,177172,"October 11, 2025",1.33,,,,6
177174,177174,"October 11, 2025",1.33,,,,5
177175,177175,"October 11, 2025",1.33,,,,5
177176,177176,"October 11, 2025",1.33,,,,6
177177,177177,"October 11, 2025",1.33,,,,6
177178,177178,"October 11, 2025",1.33,,,,5
177179,177179,"October 11, 2025",1.33,,,,6
177180,177180,"October 11, 2025",1.33,,,,6
177181,177181,"October 11, 2025",1.33,,,,6
177182,177182,"October 11, 2025",1.33,,,,4
177183,177183,"October 11, 2025",1.33,,,,5
177184,177184,"October 11, 2025",0.67,,,,3
177185,177185,"October 11, 2025",0.83,,,,5
177186,177186,"October 11, 2025",0.83,,,,5
177187,177187,"October 11, 2025",0.83,,,,5
177188,177188,"October 11, 2025",0.83,,,,5
177189,177189,"October 11, 2025",0.83,,,,5
177190,177190,"October 11, 2025",0.83,,,,5
177191,177191,"October 11, 2025",0.83,,,,5
177192,177192,"October 11, 2025",0.83,,,,5
177193,177193,"October 11, 2025",0.83,,,,5
177194,177194,"October 11, 2025",0.75,,,,4
177195,177195,"October 11, 2025",2891,,,,1
177197,177197,"October 11, 2025",21249.4,,,,13
177198,177198,"November 7, 2025",3,,,,4
177199,177199,"October 14, 2025",2,,,,1
177201,177201,"October 28, 2025",1,,,,1
177202,177202,"October 14, 2025",5,,,,13
177205,177205,"October 12, 2025",23911,,,,1
177206,177206,"October 12, 2025",29007,,,,1
177207,177207,"October 12, 2025",28907,,,,1
177208,177208,"October 12, 2025",28907,,,,1
177209,177209,"October 12, 2025",29007,,,,1
177211,177211,"October 12, 2025",22774,,,,12
177212,177212,"October 14, 2025",3,,,,1
177213,177213,"October 13, 2025",2,,,,0
177214,177214,"October 14, 2025",2,,,,3
177215,177215,"October 14, 2025",8,,,,13
177216,177216,"October 13, 2025",28512,,,,1
177217,177217,"October 13, 2025",186,,,,1
177218,177218,"October 13, 2025",1319.97,,,,5
177219,177219,"October 13, 2025",3642,,,,8
177220,177220,"October 13, 2025",2891,,,,0
177223,177223,"October 13, 2025",6398.97,,,,5
177229,177229,"October 14, 2025",10,,,,0
177230,177230,"October 31, 2025",10,,,,0
177231,177231,"October 16, 2025",520.08,,,,3
177232,177232,"October 16, 2025",240.12,,,,1
177233,177233,"October 16, 2025",311.76,,,,1
177234,177234,"October 14, 2025",294.24,,,,3
177235,177235,"October 16, 2025",256.08,,,,1
177236,177236,"October 15, 2025",3,,,,4
177238,177238,"October 16, 2025",6,,,,1
177239,177239,"October 13, 2025",2,,,,1
177240,177240,"October 15, 2025",379.74,,,,4
177241,177241,"October 15, 2025",318.24,,,,2
177242,177242,"October 13, 2025",3,,,,2
177243,177243,"October 15, 2025",3702.31,,,,6
177244,177244,"October 13, 2025",23911,,,,1
177247,177247,"October 14, 2025",12,,,,1
177249,177249,"October 14, 2025",441.56,,,,4
177250,177250,"October 14, 2025",2890.58,,,,12
177251,177251,"October 14, 2025",347.76,,,,1
177252,177252,"October 14, 2025",242.54,,,,3
177254,177254,"October 15, 2025",134.28,,,,1
177256,177256,"October 14, 2025",1173.39,,,,9
177257,177257,"October 15, 2025",369.72,,,,2
177258,177258,"October 14, 2025",433.83,,,,3
177259,177259,"October 14, 2025",547.92,,,,4
177261,177261,"October 14, 2025",387.84,,,,2
177262,177262,"October 14, 2025",1,,,,12
177263,177263,"October 16, 2025",2220,,,,2
177264,177264,"October 13, 2025",21.83,,,,4
177265,177265,"October 14, 2025",2.25,,,,4
177266,177266,"October 14, 2025",4.58,,,,11
177267,177267,"October 17, 2025",5,,,,0
177268,177268,"October 28, 2025",4,,,,0
177270,177270,"October 13, 2025",3,,,,4
177271,177271,"October 15, 2025",359.88,,,,2
177272,177272,"October 14, 2025",14,,,,12
177273,177273,"October 13, 2025",5,,,,1
177275,177275,"October 16, 2025",331.8,,,,3
177279,177279,"October 14, 2025",268.56,,,,2
177282,177282,"October 14, 2025",3.42,,,,3
177283,177283,"October 14, 2025",695.76,,,,7
177284,177284,"October 14, 2025",555.84,,,,4
177286,177286,"October 14, 2025",6,,,,0
177287,177287,"October 14, 2025",6,,,,4
177288,177288,"October 14, 2025",6,,,,0
177289,177289,"October 15, 2025",231.84,,,,1
177291,177291,"October 14, 2025",46.67,,,,11
177292,177292,"October 14, 2025",2,,,,1
177293,177293,"October 14, 2025",823.92,,,,2
177294,177294,"October 16, 2025",641.64,,,,6
177295,177295,"October 14, 2025",849.84,,,,6
177296,177296,"October 17, 2025",5,,,,11
177297,177297,"October 15, 2025",318.24,,,,1
177298,177298,"October 14, 2025",567.16,,,,7
177300,177300,"October 15, 2025",3.58,,,,13
177302,177302,"October 14, 2025",6,,,,0
177303,177303,"October 23, 2025",959.4,,,,2
177304,177304,"October 17, 2025",545.42,,,,7
177305,177305,"October 24, 2025",713.97,,,,4
177306,177306,"October 14, 2025",1.5,,,,2
177307,177307,"October 16, 2025",345.4,,,,1
177308,177308,"October 14, 2025",1.5,,,,2
177309,177309,"October 14, 2025",583.68,,,,5
177310,177310,"October 14, 2025",0.25,,,,3
177311,177311,"October 14, 2025",371.88,,,,3
177312,177312,"October 15, 2025",591.48,,,,2
177313,177313,"October 23, 2025",6,,,,1
177314,177314,"October 13, 2025",0.08,,,,2
177315,177315,"October 15, 2025",559.8,,,,1
177316,177316,"October 15, 2025",6,,,,0
177317,177317,"October 15, 2025",5,,,,2
177318,177318,"October 15, 2025",50,,,,1
177319,177319,"October 17, 2025",2285.98,,,,6
177320,177320,"October 15, 2025",791.76,,,,1
177321,177321,"October 17, 2025",690.68,,,,10
177322,177322,"October 17, 2025",385.8,,,,3
177323,177323,"October 17, 2025",279.84,,,,2
177324,177324,"October 15, 2025",617.76,,,,5
177325,177325,"October 15, 2025",21811,,,,1
177326,177326,"October 15, 2025",21811,,,,1
177327,177327,"October 14, 2025",23911,,,,1
177328,177328,"October 14, 2025",3369,,,,0
177329,177329,"October 14, 2025",1476,,,,1
177330,177330,"October 14, 2025",1476,,,,2
177331,177331,"October 14, 2025",3369,,,,0
177332,177332,"October 14, 2025",3369,,,,0
177333,177333,"October 14, 2025",3369,,,,0
177335,177335,"October 14, 2025",1476,,,,1
177336,177336,"October 14, 2025",1,,,,0
177337,177337,"October 14, 2025",1338,,,,0
177338,177338,"October 14, 2025",1338,,,,0
177339,177339,"October 14, 2025",1338,,,,0
177340,177340,"October 14, 2025",1338,,,,0
177341,177341,"October 15, 2025",3,,,,1
177342,177342,"October 14, 2025",1338,,,,0
177343,177343,"October 14, 2025",1338,,,,0
