"sep=,"
"Well Crafted Wine & Beverage Co. inventory as at 2025-09-30"
" "
Warehouse,Account,"Item number","Item type",Supplier,Category,Brand,Name,Batch,SKU,Vintage,Style,Colour,Varieties,Cases,"Items per case","Unit quantity",Unit,"Barrel or tank",Liters,"Unit COGS",COGS,"Pending orders (cases)","Pending orders (unit quantity)","Pending goods received (cases)","Pending goods received (unit quantity)"
Baltimore,"Well Crafted Wine & Beverage Co.",14590,Wine,"Collina San Ponzio (Supplier)",Italian,"Collina San Ponzio",Arneis,,ITA1032,2020,Still,White,,0.17,12,2,"750 ml",,1.50,0,0,0.00,0,0.00,0
Baltimore,"Well Crafted Wine & Beverage Co.",11669,Wine,"Vina Aljibes",Spanish,"Crimson Clover RED","Cabernet Sauvignon",,SPA1231,2019,Still,Red,"Cabernet Sauvignon",0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Baltimore,"Well Crafted Wine & Beverage Co.",8759,Wine,"Azienda Agricola Crosarola",Italian,Crosarola,Ripasso,,ITA1036,2017,,,,0.17,6,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Baltimore,"Well Crafted Wine & Beverage Co.",20782,Wine,Hendry,Californian,Hendry,"Cabernet Sauvignon",,CAL1205,2018,Still,Red,,0.17,12,2,"750 ml",,1.50,0,0,0.00,0,0.00,0
Baltimore,"Well Crafted Wine & Beverage Co.",11894,Wine,Hendry,Californian,Hendry,"HRW Pinot Noir",,CAL1198,2018,Still,Red,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Baltimore,"Well Crafted Wine & Beverage Co.",23070,Wine,Hendry,Californian,Hendry,"HRW Pinot Noir",,CAL1198,2022,Still,Red,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Baltimore,"Well Crafted Wine & Beverage Co.",12974,Wine,"Noble Hill Winery","South African","Noble Hill","Mourvèdre Rosé",,SAF1007,2020,Still,Rose,Mourvèdre,1.00,12,12,"750 ml",,9.00,0,0,0.00,0,0.00,0
Baltimore,"Well Crafted Wine & Beverage Co.",4503,Wine,"Optima Winery",Californian,Optima,"Alexander Valley Duffy Vineyard Cabernet Sauvignon Reserve",,CAL1111,2014,,Red,,0.17,12,2,"750 ml",,1.50,0,0,0.00,0,0.00,0
Baltimore,"Well Crafted Wine & Beverage Co.",15249,Wine,"Palmateer Wine Group",Californian,Raywood,"Sauvignon Blanc",,CAL1238,2020,Still,White,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Baltimore,"Well Crafted Wine & Beverage Co.",11729,Wine,Remhoogte,"South African",Remhoogte,"Soaring Eagle",,SAF1016,2019,Still,Red,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Baltimore,"Well Crafted Wine & Beverage Co.",6865,Wine,"Thelema Mountain Vineyards","South African",Sutherland,Syrah,,SAF1041,2015,Still,Red,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
"Lanterna (Maryland)","Well Crafted Wine & Beverage Co.",16995,Wine,,"Z- Samples","Champagne et Villages",Reserve,,,,,,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
"Not specified","Well Crafted Wine & Beverage Co.",17807,Wine,"Jeff Cohn Cellars",Californian,"Jeff Cohn","Pure Yum Blend",,CAL1292,2018,,,"Syrah, Grenache",0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Storage,"Well Crafted Wine & Beverage Co.",19988,Wine,"Storage- Riojanas",Storage,Alacer,Roble,5001601,RIO1001,2020,,,,4.33,6,26,"750 ml",,19.50,0,0,0.00,0,0.00,0
Storage,"Well Crafted Wine & Beverage Co.",24200,Wine,"Bodegas Riojanas1",Storage,Albina,"Essencia Tinto Reserva",,RIO1063,2011,,,,5.00,1,5,"750 ml",,3.75,0,0,0.00,0,0.00,0
Storage,"Well Crafted Wine & Beverage Co.",20021,Wine,"Storage- Riojanas",Storage,Cuppedia,Vermouth,2025085,RIO1035,NV,,,,23.67,6,142,"1 l",,142.00,0,0,0.00,0,0.00,0
Storage,"Well Crafted Wine & Beverage Co.",25487,Wine,"Storage- Riojanas",Storage,,"Monte Real Gran Reserva",,RIO1072,1975,,,,1.75,12,21,"750 ml",,15.75,0,0,0.00,0,0.00,0
Storage,"Well Crafted Wine & Beverage Co.",25486,Wine,"Storage- Riojanas",Storage,,"Monte Real Gran Reserva",,RIO1071,1978,,,,1.67,12,20,"750 ml",,15.00,0,0,0.00,0,0.00,0
Storage,"Well Crafted Wine & Beverage Co.",25545,Wine,"Storage- Riojanas",Storage,,"Monte Real Gran Reserva",,RIO1075,2009,,,,36.83,12,442,"750 ml",,331.50,0,0,0.00,0,0.00,0
Storage,"Well Crafted Wine & Beverage Co.",28521,Wine,"Storage- Riojanas",Storage,"Monte Real","Blanco Gran Reserva",,RIO1082,2019,,,,19.50,6,117,"750 ml",,87.75,0,0,0.00,0,0.00,0
Storage,"Well Crafted Wine & Beverage Co.",28522,Wine,"Storage- Riojanas",Storage,"Monte Real","Blanco Tempranillo",,RIO1084,2023,,,,27.17,6,163,"750 ml",,122.25,0,0,0.00,0,0.00,0
