"sep=,"
"Export items"
" "
Account,Item,"Item number",SKU,Manufacturer,Supplier,"Label alcohol","Units per item",Unit,"Items per case","Total quantity"
"Well Crafted Wine & Beverage Co.","17 by Pinea 2020",24223,SPA1174,Pinea,,15.00,750.000,ml,12,671.000
"Well Crafted Wine & Beverage Co.","Abadia de Acon Joven 2022",20997,SPA1072,,,14.00,750.000,ml,12,1.000
"Well Crafted Wine & Beverage Co.","Abadia de Acon Joven 2023",24274,SPA1072,,,14.00,750.000,ml,12,775.000
"Well Crafted Wine & Beverage Co.","Abadia de Acon Roble 2019",14900,SPA1073,,,14.00,750.000,ml,12,89.000
"Well Crafted Wine & Beverage Co.","Abadia de Acon Roble 2022",29323,SPA1073,,,14.00,750.000,ml,12,120.000
"Well Crafted Wine & Beverage Co.","Abadia de Acon Targum 2015",19187,SPA1076,,,15.00,750.000,ml,6,34.000
"Well Crafted Wine & Beverage Co.","Abadia de Acon Crianza 2019",24275,SPA1074,"Abadia de Acon (Supplier)",,14.50,750.000,ml,12,249.000
"Well Crafted Wine & Beverage Co.","Abadia de Acon Reserva 2018",22785,SPA1075,,,15.50,750.000,ml,12,163.000
"Well Crafted Wine & Beverage Co.","Addiah Cabernet Sauvignon 2017",16982,,,,,750.000,ml,12,1.000
"Well Crafted Wine & Beverage Co.","Adir Kerem Ben Zimra Cabernet Sauvignon  Mevushal (MD & DC)",23849,ISR1001,,,,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Adir Kerem Ben Zimra Cabernet Sauvignon (MD & DC)",23943,ISR1016,,,,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Adir Malbec",24723,ISR1028,,,,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Adir Marselan",24724,ISR1029,,,,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Adir Petit Sirah",24722,ISR1027,,,,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Adir Colombard Mevushal (MD & DC)",23920,ISR1004,,,,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Adir Dry Riesling Mevushal (MD & DC) 2024",23922,ISR1006,,,12.50,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Adir Grenache Blanc Mevushal (MD & DC)",23921,ISR1005,,,,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Adir Marselan Rosel (MD & DC) 2023",24700,ISR1018,,,,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Adir Orange Chardonnay Mevushal (MD & DC) 2024",23923,ISR1007,,,12.00,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Adir Plato Cabernet Sauvignon (MD & DC)",23918,ISR1002,,,14.50,750.000,ml,12,12.000
"Well Crafted Wine & Beverage Co.","Adir Sauvignon Blanc Mevushal (MD & DC) 2024",23919,ISR1003,,,12.00,750.000,ml,12,0.000
"Well Crafted Wine & Beverage Co.","Alacer Roble 2020 5001601",19988,RIO1001,,,,750.000,ml,6,26.000
"Well Crafted Wine & Beverage Co.","Albina Essencia Tinto Reserva 2011",24200,RIO1063,,,,750.000,ml,1,5.000
"Well Crafted Wine & Beverage Co.","Alella Marfil Ivori Blanc 2020",16474,SPA1138,,,12.50,750.000,ml,12,39.000
"Well Crafted Wine & Beverage Co.","Alella Marfil Ivori Blanc 2023",25638,SPA1138,,,12.50,750.000,ml,12,180.000
"Well Crafted Wine & Beverage Co.","Alella Vinicola Super Marfil",24050,SPA1302,,,14.00,750.000,ml,12,630.000
"Well Crafted Wine & Beverage Co.","Alella Barbabianco Vermut Blanco",3381,SPA1175,,,15.00,750.000,ml,12,90.000
"Well Crafted Wine & Beverage Co.","Alella Barbarosso Vermut Rojo",3382,SPA1176,,,15.00,750.000,ml,12,163.000
"Well Crafted Wine & Beverage Co.","Alella Costa del Maresme Tinto Wine Club Only) 2020",15239,SPA1246,,,14.00,750.000,ml,12,23.000
"Well Crafted Wine & Beverage Co.","Alella Ivori Garnatxa Syrah 2019",15258,SPA1173,"Alella Vinicola",,,750.000,ml,12,-1.000
"Well Crafted Wine & Beverage Co.","Alella Ivori White Magnum 2016  1500 ml",10327,SPA1215,,,,1500.000,ml,1,1.000
"Well Crafted Wine & Beverage Co.","Alella Ivori White Magnum 2017  1500 ml",8766,SPA1215,,,,1500.000,ml,6,47.000
"Well Crafted Wine & Beverage Co.","Alella Marfil Classic 2022",21496,SPA1002,"Alella Vinicola",,15.00,750.000,ml,12,173.000
"Well Crafted Wine & Beverage Co.","Alella Marfil Molt Dolc (Solera Dessert) 2003  500 ml",441,SPA1004,,,15.00,500.000,ml,12,46.000
"Well Crafted Wine & Beverage Co.","Alella Marfil Sec 2017",4339,SPA1138,,,12.50,750.000,ml,12,5.000
"Well Crafted Wine & Beverage Co.","Alella Marfil Sec 2018",4621,SPA1138,,,12.50,750.000,ml,12,2.000
"Well Crafted Wine & Beverage Co.","Alella Marfil Violeta (Solera Dessert) 2003  500 ml",440,SPA1003,,,15.00,500.000,ml,12,44.000
