"sep=,"
"Export prices 2025-09-30"

Item,"Item number",SKU,"Price list","Min. Qty.","Price type",Currency,Price
"Cava Marfil Brut Cava NV",437,SPA1005,"Custom S&V Group",,"Base price",USD,6.99
"Cava Marfil Brut Cava NV",437,SPA1005,"VA, MD, DC wholesale",,"Base price",USD,9.99
"Cava Marfil Brut Cava NV",437,SPA1005,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,8.99
"Cava Marfil Brut Cava NV",437,SPA1005,"VA, MD, DC wholesale",36.00,"Charge new price USD",USD,8.99
"Cava Marfil Brut Cava NV",437,SPA1005,"VA, MD, DC wholesale",36.00,"Charge new price USD",USD,8.49
"Cava Marfil Brut Cava NV",437,SPA1005,"VA, MD, DC wholesale",60.00,"Charge new price USD",USD,7.99
"Cava Marfil Brut Cava NV",437,SPA1005,"VA, MD, DC wholesale",120.00,"Charge new price USD",USD,7.99
"Alella Marfil Classic 2011",438,,"VA, MD, DC wholesale",,"Base price",USD,11.33
"Alella Marfil Violeta (Solera Dessert) 2003  500 ml",440,SPA1003,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,24.99
"Alella Marfil Violeta (Solera Dessert) 2003  500 ml",440,SPA1003,"VA, MD, DC wholesale",,"Base price",USD,26.67
"Alella Marfil Violeta (Solera Dessert) 2003  500 ml",440,SPA1003,"VA, MD, DC wholesale",60.00,"Charge new price USD",USD,24.99
"Alella Marfil Molt Dolc (Solera Dessert) 2003  500 ml",441,SPA1004,"VA, MD, DC wholesale",,"Base price",USD,29.99
"Cava Signat Semi-Seco Cava NV",442,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,9.99
"Cava Signat Semi-Seco Cava NV",442,,"VA, MD, DC wholesale",,"Base price",USD,10.66
"Cava Signat Brut Nature Cava NV",443,SPA1008,"VA, MD, DC wholesale",60.00,"Charge new price USD",USD,10.99
"Cava Signat Brut Nature Cava NV",443,SPA1008,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,10.99
"Cava Signat Brut Nature Cava NV",443,SPA1008,"VA, MD, DC wholesale",,"Base price",USD,11.99
"Costers del Segre Pla del Lladoner 2012",446,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,12.66
"Costers del Segre Pla del Lladoner 2012",446,,"VA, MD, DC wholesale",,"Base price",USD,13.33
"Vinos de Madrid Jesus Diaz Blanco 2012",451,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,7.99
"Vinos de Madrid Jesus Diaz Blanco 2012",451,,"VA, MD, DC wholesale",,"Base price",USD,8.99
"Vinos de Madrid Jesus Diaz Tempranillio 2012",452,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,9.33
"Vinos de Madrid Jesus Diaz Tempranillio 2012",452,,"VA, MD, DC wholesale",,"Base price",USD,9.99
"Emporda Rhodes 2006",459,SPA1027,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,15.99
"Emporda Rhodes 2006",459,SPA1027,"VA, MD, DC wholesale",,"Base price",USD,17.33
"Emporda Rhodes 2006",459,SPA1027,"VA, MD, DC wholesale",60.00,"Charge new price USD",USD,15.99
"Jumilla Perla Real Monastrell 2010",460,SPA1036,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,9.99
"Jumilla Perla Real Monastrell 2010",460,SPA1036,"VA, MD, DC wholesale",,"Base price",USD,11.33
"Jumilla Perla Real  Merlot 2010",462,,"VA, MD, DC wholesale",,"Base price",USD,12.66
"Manchuela Vina Altaba Bobal Rosado 2012",464,SPA1042,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,5.99
"Manchuela Vina Altaba Bobal Rosado 2012",464,SPA1042,"VA, MD, DC wholesale",,"Base price",USD,6.99
"Manchuela Ventoso Vines  Bobal 2010",465,SPA1044,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,7.99
"Manchuela Ventoso Vines  Bobal 2010",465,SPA1044,"VA, MD, DC wholesale",,"Base price",USD,8.66
"Manchuela Vina Altaba Crianza Bobal 2008",466,SPA1043,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,9.99
"Manchuela Vina Altaba Crianza Bobal 2008",466,SPA1043,"VA, MD, DC wholesale",,"Base price",USD,10.66
"Montsant Karma de Drac 2010",467,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,11.99
"Montsant Karma de Drac 2010",467,,"VA, MD, DC wholesale",12.00,"Charge new price USD",USD,11.99
"Montsant Karma de Drac 2010",467,,"VA, MD, DC wholesale",36.00,"Charge new price USD",USD,9.99
"Montsant Karma de Drac 2010",467,,"VA, MD, DC wholesale",,"Base price",USD,12.66
"Emporda Maragda Rosa 2012",469,SPA1026,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,8.99
"Emporda Maragda Rosa 2012",469,SPA1026,"VA, MD, DC wholesale",,"Base price",USD,9.33
"Montsant Gallicant 2004",471,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,35.99
"Montsant Gallicant 2004",471,,"VA, MD, DC wholesale",,"Base price",USD,39.99
"Uco Valley Estado Natural Torrontes 2012",476,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,8.66
"Uco Valley Estado Natural Torrontes 2012",476,,"VA, MD, DC wholesale",12.00,"Charge new price USD",USD,8.66
"Uco Valley Estado Natural Torrontes 2012",476,,"VA, MD, DC wholesale",36.00,"Charge new price USD",USD,7.99
"Uco Valley Estado Natural Torrontes 2012",476,,"VA, MD, DC wholesale",,"Base price",USD,9.33
"Uco Valley Tierra de Gaucho Malbec 2012",477,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,8.66
"Uco Valley Tierra de Gaucho Malbec 2012",477,,"VA, MD, DC wholesale",36.00,"Charge new price USD",USD,7.99
"Uco Valley Tierra de Gaucho Malbec 2012",477,,"VA, MD, DC wholesale",,"Base price",USD,9.33
"Uco Valley Estado Natural Malbec 2012",478,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,10.33
"Uco Valley Estado Natural Malbec 2012",478,,"VA, MD, DC wholesale",,"Base price",USD,11.33
"Uco Valley Estado Natural Reserve 2009",479,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,13.33
"Uco Valley Estado Natural Reserve 2009",479,,"VA, MD, DC wholesale",12.00,"Charge new price USD",USD,13.33
"Uco Valley Estado Natural Reserve 2009",479,,"VA, MD, DC wholesale",36.00,"Charge new price USD",USD,12.66
"Uco Valley Estado Natural Reserve 2009",479,,"VA, MD, DC wholesale",,"Base price",USD,14.33
"Uco Valley Estado Natural Gran Reserve 2007",480,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,22.99
"Uco Valley Estado Natural Gran Reserve 2007",480,,"VA, MD, DC wholesale",6.00,"Charge new price USD",USD,22.99
"Uco Valley Estado Natural Gran Reserve 2007",480,,"VA, MD, DC wholesale",12.00,"Charge new price USD",USD,21.99
"Uco Valley Estado Natural Gran Reserve 2007",480,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,22.99
"Uco Valley Estado Natural Gran Reserve 2007",480,,"VA, MD, DC wholesale",,"Base price",USD,24.99
"Uco Valley Estado Natural Gran Reserve 2007",480,,"VA, MD, DC wholesale",,"Base price",USD,24.99
"Simonsberg-Paarl Noble Hill Sauvignon Blanc 2012",482,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,8.99
"Simonsberg-Paarl Noble Hill Sauvignon Blanc 2012",482,,"VA, MD, DC wholesale",,"Base price",USD,9.99
"Simonsberg-Paarl Noble Hill Chardonnay 2010",484,SAF1006,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,11.33
"Simonsberg-Paarl Noble Hill Chardonnay 2010",484,SAF1006,"VA, MD, DC wholesale",,"Base price",USD,11.99
"Kilmarnock Jacey Vineyards Vidal Blanc 2012",488,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,11.00
"Kilmarnock Jacey Vineyards Vidal Blanc 2012",488,,"VA, MD, DC wholesale",,"Base price",USD,11.99
"Kilmarnock Jacey Vineyards Malbec 2012",490,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,12.00
"Kilmarnock Jacey Vineyards Malbec 2012",490,,"VA, MD, DC wholesale",,"Base price",USD,13.33
"Kilmarnock Jacey Vineyards Petit Verdot 2012",491,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,12.00
"Kilmarnock Jacey Vineyards Petit Verdot 2012",491,,"VA, MD, DC wholesale",,"Base price",USD,13.33
"Monstant Citareus 2005",492,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,24.99
"Monstant Citareus 2005",492,,"VA, MD, DC wholesale",,"Base price",USD,27.99
"Ribeiro Terra Castelo Sensacion Blanco 2012",493,SPA1065,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,7.33
"Ribeiro Terra Castelo Sensacion Blanco 2012",493,SPA1065,"VA, MD, DC wholesale",,"Base price",USD,7.99
"Ribeiro Terra do Castelo Godello 2012",494,SPA1066,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,9.99
"Ribeiro Terra do Castelo Godello 2012",494,SPA1066,"VA, MD, DC wholesale",,"Base price",USD,10.66
"Ribeiro Terra do Castelo Godello 2012",494,SPA1066,"VA, MD, DC wholesale",60.00,"Charge new price USD",USD,9.99
"Ribeiro Terra do Castelo Sensacion Tinto 2012",495,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,7.33
"Ribeiro Terra do Castelo Sensacion Tinto 2012",495,,"VA, MD, DC wholesale",,"Base price",USD,7.99
"Ribeiro Terra do Castelo Mencia 2011",496,SPA1066,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,9.99
"Ribeiro Terra do Castelo Mencia 2011",496,SPA1066,"VA, MD, DC wholesale",,"Base price",USD,10.66
"Ribera del Guadiana Zaleo Semi Dulce Tempranillo 2012",498,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,5.99
"Ribera del Guadiana Zaleo Semi Dulce Tempranillo 2012",498,,"VA, MD, DC wholesale",60.00,"Charge new price USD",USD,5.50
"Ribera del Guadiana Zaleo Semi Dulce Tempranillo 2012",498,,"VA, MD, DC wholesale",,"Base price",USD,6.67
"Ribera del Guadiana Zaleo Premium Tempranillo 2009",500,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,12.99
"Ribera del Guadiana Zaleo Premium Tempranillo 2009",500,,"VA, MD, DC wholesale",12.00,"Charge new price USD",USD,10.99
"Ribera del Guadiana Zaleo Premium Tempranillo 2009",500,,"VA, MD, DC wholesale",60.00,"Charge new price USD",USD,9.99
"Ribera del Guadiana Zaleo Premium Tempranillo 2009",500,,"VA, MD, DC wholesale",,"Base price",USD,13.99
"Rioja Conde de Altava Blanco 2012",501,SPA1085,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,6.33
"Rioja Conde de Altava Blanco 2012",501,SPA1085,"VA, MD, DC wholesale",,"Base price",USD,6.67
"Rioja Conde de Altava Joven Tempranillo 2012",502,SPA1086,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,5.49
"Rioja Conde de Altava Joven Tempranillo 2012",502,SPA1086,"VA, MD, DC wholesale",,"Base price",USD,5.99
"Rioja Conde de Altava Crianza Tempranillo 2009",503,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,7.33
"Rioja Conde de Altava Crianza Tempranillo 2009",503,,"VA, MD, DC wholesale",,"Base price",USD,7.99
"Rioja Conde de Altava Reserva Tempranillo 2007",504,SPA1209,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,12.66
"Rioja Conde de Altava Reserva Tempranillo 2007",504,SPA1209,"VA, MD, DC wholesale",,"Base price",USD,13.33
"Rioja Lar de Paula Reserva Tempranillo 2008",508,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,15.99
"Rioja Lar de Paula Reserva Tempranillo 2008",508,,"VA, MD, DC wholesale",,"Base price",USD,17.66
"Rioja Nabari 2012",510,SPA1111,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,8.99
"Rioja Nabari 2012",510,SPA1111,"VA, MD, DC wholesale",,"Base price",USD,12.33
"Somontano Ixeia Tinto 2012",516,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,6.67
"Somontano Ixeia Tinto 2012",516,,"VA, MD, DC wholesale",,"Base price",USD,7.33
"Utiel Requena Finca San Blas Blanco 2011",523,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,12.33
"Utiel Requena Finca San Blas Blanco 2011",523,,"VA, MD, DC wholesale",,"Base price",USD,13.33
"Utiel Requena Lomalta Blend 2008",524,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,12.33
"Utiel Requena Lomalta Blend 2008",524,,"VA, MD, DC wholesale",,"Base price",USD,13.33
"Tarara Boneyard Unrefined Rose 2012",527,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,9.66
"Tarara Boneyard Unrefined Rose 2012",527,,"VA, MD, DC wholesale",,"Base price",USD,9.99
"Tarara Boneyard Bad to the Bone Bubbles",529,VIR1007,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,26.66
"Tarara Boneyard Bad to the Bone Bubbles",529,VIR1007,"VA, MD, DC wholesale",,"Base price",USD,27.99
"Alella Marfil Blanc de Noir 2009",536,,"VA, MD, DC wholesale",,"Base price",USD,24.33
"Alella Marfil Blanc de Noir 2010",537,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,21.99
"Alella Marfil Blanc de Noir 2010",537,,"VA, MD, DC wholesale",,"Base price",USD,24.33
"Jumilla Perla Real Monastrell 2009",539,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,9.99
"Jumilla Perla Real Monastrell 2009",539,,"VA, MD, DC wholesale",,"Base price",USD,11.33
"Rioja Lar de Paula Blanco 2011",541,,"VA, MD, DC wholesale",,"Base price",USD,11.33
"Simonsberg-Paarl Noble Hill Blanc de Blanc 2010",547,,"VA, MD, DC wholesale",,"Base price",USD,26.66
"Uco Valley Estado Natural Malbec 2009",548,,"VA, MD, DC wholesale",,"Base price",USD,3.00
"Tarara Boneyard Skins White 2012",566,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,13.99
"Tarara Boneyard Skins White 2012",566,,"VA, MD, DC wholesale",,"Base price",USD,14.67
"Tarara Long Bomb 2012",567,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,9.99
"Tarara Long Bomb 2012",567,,"VA, MD, DC wholesale",,"Base price",USD,14.67
"Tarara Boneyard Cabernet Sauvignon 2011",568,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,18.99
"Tarara Boneyard Cabernet Sauvignon 2011",568,,"VA, MD, DC wholesale",,"Base price",USD,19.99
"Tarara Cabernet Franc 2012",570,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,13.99
"Tarara Cabernet Franc 2012",570,,"VA, MD, DC wholesale",,"Base price",USD,14.67
"Tarara Chardonnay 2012",572,VIR1008,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,16.67
"Tarara Charval 2013",573,VIR1010,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,13.99
"Tarara Charval 2013",573,VIR1010,"VA, MD, DC wholesale",,"Base price",USD,14.67
"Tarara Charval 2013",573,VIR1010,"VA, MD, DC wholesale",60.00,"Charge new price USD",USD,13.99
"Tarara Charval 2012",574,,"VA, MD, DC wholesale",,"Base price",USD,10.67
"Costers del Segre Violes Velles 2013",586,,"VA, MD, DC wholesale",24.00,"Charge new price USD",USD,12.66
